w,h,k,gender
50,152,-0.17,-1
39,155,-0.21,-1
40,162.56,0.2636,-1
51,160,0.33,-1
54,155,0.09,-1
45,157,0.03,-1
43,152,-0.31,-1
47,162,0.37,-1
65,162,0.73,-1
47,157,0.07,-1
55,160,0.41,-1
51,147,-0.45,-1
61,167,0.95,-1
42,155,-0.15,-1
40,147,-0.67,-1
52,148,-0.37,-1
60,167,0.93,-1
57,165,0.75,-1
52,165,0.65,-1
50,154,-0.05,-1
61,168,1.01,-1
66,163,0.81,-1
44,155,-0.11,-1
62,162,0.67,-1
80,164,1.15,-1
58,151,-0.07,-1
46,155,-0.07,-1
41,161,0.19,-1
63,161,0.63,-1
49,150,-0.31,-1
44,160,0.19,-1
55,151,-0.13,-1
50,153,-0.11,-1
46,155,-0.07,-1
60,164,0.75,-1
50,157,0.13,-1
45,159,0.15,-1
50,146,-0.53,-1
29,157,-0.29,-1
50,151,-0.23,-1
48,151,-0.27,-1
46,159,0.17,-1
58,151,-0.07,-1
63,159,0.51,-1
60,160,0.51,-1
44,148,-0.53,-1
60,153,0.09,-1
55,167,0.83,-1
50,150,-0.29,-1
45,150,-0.39,-1
45,165,0.51,-1
71,125,-1.37,-1
46,154,-0.13,-1
42,154,-0.21,-1
55,165,0.71,-1
59,170,1.09,-1
47,148,-0.47,-1
59,148,-0.23,-1
49,159,0.23,-1
45,154,-0.15,-1
39,150.5,-0.48,-1
50,152,-0.17,-1
72,150,0.15,-1
41,155,-0.17,-1
71,163,0.91,-1
48.5,163,0.46,-1
49,161,0.35,-1
56,156,0.19,-1
43,158,0.05,-1
53,156,0.13,-1
36,153,-0.39,-1
33.5,159,-0.08,-1
43,153,-0.25,-1
44,154,-0.17,-1
38,148,-0.65,-1
52,160,0.35,-1
49,160,0.29,-1
74,167,1.21,-1
44,160,0.19,-1
58,165,0.77,-1
65,150,0.01,-1
45,158,0.09,-1
64,170,1.19,-1
45,156,-0.03,-1
43,150,-0.43,-1
48,160,0.27,-1
51,155,0.03,-1
48,159,0.21,-1
50.5,152,-0.16,-1
55,146,-0.43,-1
49,152,-0.19,-1
48,150,-0.33,-1
54,170,0.99,-1
43,154,-0.19,-1
53,150,-0.23,-1
42.2,158,0.034,-1
54,154,0.03,-1
49,166,0.65,-1
39,143,-0.93,-1
45,156,-0.03,-1
60,162,0.63,-1
52,152,-0.13,-1
45,158,0.09,-1
30,149,-0.75,-1
37,156,-0.19,-1
45,150,-0.39,-1
53,160,0.37,-1
66,171,1.29,-1
62,164,0.79,-1
50,152,-0.17,-1
53,160,0.37,-1
